model,r2_score,mse
RandomForest,0.5281796544343673,0.15482594868145647
AdaBoost,0.5005257896853603,0.16390045317180618
GradientBoosting,0.5749610132266865,0.13947483395378335
LinearRegression,0.5231526835089846,0.15647552897156333
DecisionTreeRegressor,0.249184989867403,0.24637692571035238
KNeighbors,0.36421002282992176,0.20863192378766515
