,0,1,2,3,4,5,6,7,8,9
label,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0
genre_Action,0.16290420988407567,0.009345794392523364,0.008130081300813009,0.05555555555555555,0.5517241379310345,0.1,0.0,0.0,0.0,0.5
genre_Adventure,0.0,0.0,0.0,0.027777777777777776,1.0,0.0,0.0,0.0,0.0,0.0
genre_Animation,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
genre_Biography,0.01525320317266626,0.0,0.0,0.0,0.019704433497536946,0.0,0.0,0.0,0.0,0.0
genre_Comedy,0.2312385600976205,0.35514018691588783,0.016260162601626018,0.7777777777777778,0.08374384236453201,0.0,0.0,0.3333333333333333,0.41379310344827586,0.0
genre_Crime,0.4923733984136669,0.018691588785046728,0.07317073170731707,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.25
genre_Documentary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
genre_Family,0.03477730323367907,0.03271028037383177,0.0,0.0,0.059113300492610835,0.0,0.0,0.0,0.0,0.0
genre_Fantasy,0.0811470408785845,0.02336448598130841,0.45528455284552843,0.05555555555555555,0.1330049261083744,0.0,0.0,0.0,0.0,0.0
genre_History,0.022574740695546065,0.0514018691588785,0.0,0.0,0.034482758620689655,0.7,0.0,0.0,0.0,0.0
genre_Horror,0.0,0.0,1.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0
genre_Music,0.01464307504575961,0.02336448598130841,0.0,0.027777777777777776,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
genre_Musical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
genre_Mystery,0.3184868822452715,0.06542056074766354,0.13821138211382114,0.0,0.024630541871921183,0.0,0.0,0.0,0.0,0.0
genre_Reality-TV,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
genre_Romance,0.0,1.0,0.008130081300813009,0.0,0.04926108374384237,0.0,0.0,0.0,0.3448275862068966,0.0
genre_Sci-Fi,0.07809640024405125,0.009345794392523364,0.13821138211382114,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0
genre_Sport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
genre_Thriller,0.08663819402074435,0.009345794392523364,0.13008130081300814,0.0,0.0,0.0,0.0,0.0,0.0,0.0
genre_War,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
genre_Western,0.004881025015253203,0.0,0.0,0.0,0.0049261083743842365,0.0,0.0,0.0,0.0,0.0
av_rating,8.082323794996949,7.918356074766355,8.094317886178862,8.001652777777778,8.020687192118226,8.467569999999998,4.15,7.839483333333334,8.339020689655174,7.515325
