genre,coefficient
genre_Action,0.03955283988115575
genre_Adventure,-0.021232999973119067
genre_Animation,-0.007113896104510591
genre_Biography,0.07844622991405123
genre_Comedy,0.016908047664973468
genre_Crime,0.12814090779260398
genre_Documentary,-0.5654417024961419
genre_Family,0.06932404952990474
genre_Fantasy,0.23858174309716956
genre_History,0.2945753265981659
genre_Horror,-0.009366465359165304
genre_Music,0.2242156279423447
genre_Musical,-0.20043501180732545
genre_Mystery,-0.03417402173374301
genre_Reality-TV,-3.809543786604889
genre_Romance,-0.05355213434921512
genre_Sci-Fi,-0.03873351706329886
genre_Sport,0.3656827031063912
genre_Thriller,0.20124270671008937
genre_War,0.4338150292861156
genre_Western,-0.04491020907953141
